Fid,Vehicle_Model,Battery_Capacity_kWh,Charging_Station_ID,Charging Station Location,Charging_Start_Time,Charging_EndTime,Energy_Consumed_kWh,Charging_Duration_hours,Charging_Rate_kW,Charging_Cost_USD,Vehicle_Age_years,Charger_Type,User_Type,Label
172.217.10.80-10.42.0.151-443-50098-6,Nissan Leaf,85,Station_442,New York,08-01-24 7:00,08-01-24 8:51,6.08863209,3.284946614,4.868312092,9.194135635,2,DC Fast Charger,Commuter,0
10.42.0.151-31.13.69.195-45529-443-6,Chevy Bolt,50,Station_203,New York,08-01-24 8:00,08-01-24 10:25,33.09869143,2.182172568,16.68689597,36.52395919,7.690884188,Level 1,Commuter,0
10.42.0.211-23.194.140.226-60494-80-6,Tesla Model 3,95.69778087,Station_341,New York,08-01-24 9:00,08-01-24 11:14,78.83314652,2.921583662,8.424644632,23.30472969,0,DC Fast Charger,Casual Driver,0
172.217.12.131-10.42.0.151-443-37242-6,Hyundai Kona,100,Station_149,New York,08-01-24 10:00,08-01-24 11:57,63.2365161,0.835845142,5.255799991,39.69535324,2,Level 1,Casual Driver,0
172.217.10.99-10.42.0.211-443-60202-6,Tesla Model 3,50,Station_402,San Francisco,08-01-24 11:00,08-01-24 11:31,50.16138088,3.984418264,29.08728055,8.854761003,7,DC Fast Charger,Casual Driver,0
172.217.11.10-10.42.0.151-443-57292-6,Tesla Model 3,50,Station_183,Houston,08-01-24 12:00,08-01-24 14:13,21.82050637,0.856617261,97.3422547,13.09959827,5,Level 1,Long-Distance Traveler,0
10.42.0.211-10.42.0.1-65254-53-17,Chevy Bolt,50,Station_413,Los Angeles,08-01-24 13:00,08-01-24 14:53,61.00032236,3.02652484,5.72046526,20.41637758,6,Level 2,Casual Driver,0
182.22.25.252-10.42.0.211-443-38743-6,Tesla Model 3,62,Station_152,Houston,08-01-24 14:00,08-01-24 15:12,47.31460938,0.968976969,10.16337295,25.92447735,5,Level 1,Casual Driver,1
172.217.3.109-10.42.0.151-443-53569-6,Nissan Leaf,62,Station_74,San Francisco,08-01-24 15:00,08-01-24 18:03,33.78434419,1.350101828,48.76808404,22.90123735,5,DC Fast Charger,Long-Distance Traveler,0
10.42.0.211-121.12.98.64-58419-80-6,Nissan Leaf,62,Station_365,New York,08-01-24 16:00,08-01-24 17:40,47.84104322,1.613387598,36.24955021,11.34595333,6,DC Fast Charger,Commuter,0
172.217.9.234-10.42.0.151-443-53156-6,BMW i3,50,Station_401,San Francisco,08-01-24 17:00,08-01-24 20:15,10.64015216,3.080603458,19.16716098,6.499435839,6,Level 2,Long-Distance Traveler,0
10.42.0.211-68.67.178.110-37718-443-6,Hyundai Kona,102.83943,Station_274,Chicago,08-01-24 18:00,08-01-24 20:03,72.23781882,3.498285555,14.43590506,24.3268478,2,Level 2,Casual Driver,0
202.77.129.150-10.42.0.211-443-52718-6,Tesla Model 3,85,Station_42,Chicago,08-01-24 19:00,08-01-24 20:11,36.15792622,3.101827077,46.32809897,37.20641911,2,Level 2,Casual Driver,0
10.42.0.42-121.12.98.63-52353-80-6,Tesla Model 3,50,Station_496,Houston,08-01-24 20:00,08-01-24 22:42,63.62653233,2.040022115,9.986771923,35.02872012,1,Level 1,Commuter,1
10.42.0.211-120.76.223.181-44061-83-6,Chevy Bolt,50,Station_212,Houston,08-01-24 21:00,08-01-24 23:48,8.349591228,2.312675062,47.48218949,19.7528686,5,Level 1,Long-Distance Traveler,0
174.35.73.134-10.42.0.211-443-48387-6,Nissan Leaf,100,Station_101,Los Angeles,08-01-24 22:00,08-01-24 23:34,65.83154347,3.705617222,7.253633663,7.453842745,0,Level 1,Casual Driver,0
203.205.158.62-10.42.0.151-80-54007-6,Hyundai Kona,100,Station_45,Los Angeles,08-01-24 23:00,09-01-24 0:03,55.18877391,1.414505761,,23.68341,0,Level 1,Commuter,0
10.42.0.42-119.146.74.31-35770-443-6,BMW i3,85,Station_82,Chicago,09-01-24 0:00,09-01-24 2:29,55.9794347,1.106862483,13.79927221,31.52986271,5,Level 1,Casual Driver,1
10.42.0.211-72.30.2.182-45961-443-6,Nissan Leaf,62,Station_17,New York,09-01-24 1:00,09-01-24 1:30,38.50773759,0.976477541,15.80992156,38.18852997,3,DC Fast Charger,Commuter,0
10.42.0.42-40.122.162.208-45554-443-6,BMW i3,85,Station_73,San Francisco,09-01-24 2:00,09-01-24 4:39,13.10581202,0.569062335,14.55441535,28.93465228,7,DC Fast Charger,Casual Driver,0
10.42.0.42-104.97.95.172-47351-80-6,Chevy Bolt,75,Station_14,Los Angeles,09-01-24 3:00,09-01-24 5:57,7.816424005,3.457199298,5.098121574,32.2717069,6,DC Fast Charger,Casual Driver,0
172.217.9.232-10.42.0.151-443-38495-6,Chevy Bolt,50,Station_433,Los Angeles,09-01-24 4:00,09-01-24 5:30,52.50980894,2.764323587,17.12970238,43.15651393,0,Level 1,Commuter,0
175.100.207.232-10.42.0.211-80-48179-6,Tesla Model 3,85,Station_157,New York,09-01-24 5:00,09-01-24 7:58,12.12801805,0.980251842,32.09970636,31.07189392,3,Level 2,Commuter,0
169.45.238.55-10.42.0.42-5222-42921-6,Hyundai Kona,75,Station_223,New York,09-01-24 6:00,09-01-24 7:57,28.98835178,3.275752117,,8.690730198,3,DC Fast Charger,Casual Driver,0
10.42.0.151-10.42.0.1-14342-53-17,BMW i3,62,Station_132,Houston,09-01-24 7:00,09-01-24 8:37,13.48519533,2.665368482,29.87310551,27.32232283,1,DC Fast Charger,Commuter,0
172.217.10.10-10.42.0.151-443-46626-6,Nissan Leaf,62,Station_338,San Francisco,09-01-24 8:00,09-01-24 10:36,80.72941928,2.877191094,36.78209781,12.94572889,4,Level 1,Casual Driver,0
10.42.0.211-10.42.0.1-51916-53-17,Chevy Bolt,85,Station_404,New York,09-01-24 9:00,09-01-24 11:49,53.58667286,3.445384637,6.927506568,7.441371986,6.455612284,Level 1,Casual Driver,1
10.42.0.1-10.42.0.42-53-42713-17,Tesla Model 3,62,Station_376,Los Angeles,09-01-24 10:00,09-01-24 10:51,72.8285851,0.599135251,47.52616642,36.35757443,2,Level 1,Long-Distance Traveler,0
10.42.0.211-104.192.110.245-58909-80-6,Tesla Model 3,85,Station_376,Los Angeles,09-01-24 11:00,09-01-24 13:57,64.23213303,2.822449218,29.92814716,5.935357649,0,DC Fast Charger,Casual Driver,0
172.217.10.42-10.42.0.151-443-33749-6,BMW i3,100,Station_47,Chicago,09-01-24 12:00,09-01-24 13:51,17.85487342,2.505005631,48.38467692,38.49605368,2.007640589,Level 2,Casual Driver,1
172.217.3.110-10.42.0.151-443-53864-6,Chevy Bolt,62,Station_107,New York,09-01-24 13:00,09-01-24 15:38,63.85425614,3.887300864,37.22881554,8.317684005,3.281116643,Level 1,Commuter,0
10.42.0.211-47.88.68.21-43805-443-6,Hyundai Kona,85,Station_108,Houston,09-01-24 14:00,09-01-24 14:59,70.99471727,0.776358498,12.56141232,13.17014202,7,Level 1,Long-Distance Traveler,0
173.222.142.156-10.42.0.211-443-41536-6,Chevy Bolt,85,Station_265,San Francisco,09-01-24 15:00,09-01-24 17:35,62.24807114,3.432085658,18.5894723,15.58468446,6,Level 2,Commuter,0
10.42.0.1-10.42.0.42-53-12822-17,BMW i3,89.03206383,Station_205,Houston,09-01-24 16:00,09-01-24 18:06,78.64289917,0.608975083,34.823951,31.44978444,6,Level 2,Commuter,0
172.217.10.74-10.42.0.151-443-35387-6,BMW i3,85,Station_79,Los Angeles,09-01-24 17:00,09-01-24 17:53,6.961875674,2.42277593,22.67276738,26.22370445,1,Level 2,Casual Driver,0
172.217.3.109-10.42.0.151-443-32904-6,Chevy Bolt,85,Station_155,Houston,09-01-24 18:00,09-01-24 18:43,75.18617181,3.623184646,53.1747828,14.73538709,5,Level 1,Casual Driver,0
10.42.0.151-120.196.211.8-45353-80-6,BMW i3,50,Station_271,Los Angeles,09-01-24 19:00,09-01-24 20:05,1.754520234,0.797394431,8.430755655,22.72439575,2,Level 1,Casual Driver,1
173.222.142.156-10.42.0.211-443-42135-6,Chevy Bolt,81.65318205,Station_476,Los Angeles,09-01-24 20:00,09-01-24 23:46,73.61433544,3.665318918,3.855782923,14.12480236,7,DC Fast Charger,Commuter,0
10.42.0.211-54.192.37.25-36232-80-6,Nissan Leaf,62,Station_485,Los Angeles,09-01-24 21:00,10-01-24 0:52,6.37787409,0.90351941,33.84247375,27.80226589,2,DC Fast Charger,Commuter,1
10.42.0.211-10.42.0.1-27214-53-17,Chevy Bolt,62,Station_247,Los Angeles,09-01-24 22:00,09-01-24 22:53,51.16182198,1.286674507,15.00297561,39.81658731,1.888037483,DC Fast Charger,Casual Driver,0
202.102.68.102-10.42.0.211-80-37584-6,Chevy Bolt,75,Station_19,Los Angeles,09-01-24 23:00,10-01-24 2:37,28.22969163,1.218689578,23.43741011,36.34122452,7,DC Fast Charger,Commuter,0
172.217.3.110-10.42.0.151-443-32956-6,BMW i3,62,Station_346,Chicago,10-01-24 0:00,10-01-24 2:04,67.92283225,3.704571949,41.7435588,32.17628426,5,DC Fast Charger,Long-Distance Traveler,0
172.217.10.98-10.42.0.42-443-56194-6,BMW i3,75,Station_436,Houston,10-01-24 1:00,10-01-24 2:24,15.27366667,2.865108393,5.37038419,7.629495458,6,DC Fast Charger,Long-Distance Traveler,0
180.149.138.197-10.42.0.211-80-50567-6,Tesla Model 3,85,Station_26,Chicago,10-01-24 2:00,10-01-24 5:54,50.6437366,2.22914255,29.63368144,38.24799124,3,Level 1,Long-Distance Traveler,0
10.42.0.211-120.55.89.238-43249-8977-6,Tesla Model 3,50,Station_217,Chicago,10-01-24 3:00,10-01-24 6:57,52.05474165,2.935609252,5.231316129,24.99614525,4,DC Fast Charger,Commuter,0
10.42.0.211-10.42.0.1-6246-53-17,Nissan Leaf,75,Station_154,New York,10-01-24 4:00,10-01-24 4:53,57.89799819,0.6055648,15.38088133,28.13582402,7,Level 1,Long-Distance Traveler,1
182.22.31.252-10.42.0.211-443-48433-6,Tesla Model 3,75,Station_154,New York,10-01-24 5:00,10-01-24 8:54,30.90079834,0.670877147,40.56440393,14.43726522,4,Level 1,Casual Driver,0
10.42.0.211-54.239.17.113-36143-443-6,Chevy Bolt,46.5379115,Station_174,New York,10-01-24 6:00,10-01-24 9:01,35.34837713,3.133547023,5.497144233,12.65346387,4,Level 2,Casual Driver,1
10.42.0.42-113.108.216.233-57680-80-6,BMW i3,75,Station_92,San Francisco,10-01-24 7:00,10-01-24 10:31,11.92593792,2.749029705,49.42273698,25.98584818,0,Level 1,Casual Driver,0
172.217.12.195-10.42.0.211-443-55124-6,Tesla Model 3,62,Station_433,New York,10-01-24 8:00,10-01-24 8:55,55.46412784,0.584464725,20.98803215,16.65159816,3,Level 1,Long-Distance Traveler,0
10.42.0.151-10.42.0.1-62508-53-17,Tesla Model 3,50,Station_338,Houston,10-01-24 9:00,10-01-24 12:43,44.15948701,3.976851392,23.75243532,5.550200361,7,Level 1,Long-Distance Traveler,0
239.255.255.250-10.42.0.42-1900-54935-17,Nissan Leaf,100,Station_480,Chicago,10-01-24 10:00,10-01-24 11:49,65.24475505,0.878651682,46.9698183,24.75285105,4,Level 2,Commuter,0
172.217.12.142-10.42.0.211-443-56154-6,Nissan Leaf,50,Station_181,Houston,10-01-24 11:00,10-01-24 14:15,20.46478094,3.64700851,18.59949061,7.674183155,7,Level 1,Casual Driver,0
10.42.0.211-98.139.199.205-38846-443-6,Chevy Bolt,27.03325783,Station_131,New York,10-01-24 12:00,10-01-24 13:34,49.1867283,1.912563148,32.36305516,9.11960718,5,Level 2,Commuter,0
10.42.0.42-123.125.29.220-49252-80-6,BMW i3,85,Station_450,San Francisco,10-01-24 13:00,10-01-24 14:44,32.64266714,0.560640901,29.19908693,5.781509069,0,DC Fast Charger,Long-Distance Traveler,0
10.42.0.151-10.42.0.1-23002-53-17,Nissan Leaf,85,Station_481,San Francisco,10-01-24 14:00,10-01-24 17:28,66.62370004,1.229144212,45.50567504,22.33792167,0,Level 1,Commuter,1
10.42.0.211-61.135.185.139-50063-80-6,Tesla Model 3,62,Station_298,Chicago,10-01-24 15:00,10-01-24 18:12,33.36550879,0.611262023,10.19694665,35.95601164,0,DC Fast Charger,Casual Driver,0
202.77.129.54-10.42.0.211-80-55495-6,BMW i3,120.5106328,Station_275,Houston,10-01-24 16:00,10-01-24 17:12,68.82528251,2.465336096,16.93561005,33.86154813,0,Level 1,Commuter,0
172.217.10.78-10.42.0.211-443-56239-6,BMW i3,75,Station_273,Los Angeles,10-01-24 17:00,10-01-24 17:58,65.89172327,0.73893053,36.49305496,9.144724291,5,Level 2,Commuter,1
151.101.46.2-10.42.0.211-443-39132-6,Tesla Model 3,62,Station_492,Houston,10-01-24 18:00,10-01-24 21:14,,2.168491761,41.5266716,9.084707242,3,DC Fast Charger,Long-Distance Traveler,0
10.42.0.151-112.90.74.178-48640-80-6,Nissan Leaf,75,Station_417,New York,10-01-24 19:00,10-01-24 20:50,12.66982107,2.816823553,18.71829649,32.178618,3,Level 1,Long-Distance Traveler,0
10.42.0.211-52.84.29.154-57110-443-6,Tesla Model 3,50,Station_76,Los Angeles,10-01-24 20:00,10-01-24 23:35,25.35411412,0.61331382,16.88057219,19.33324015,0,Level 1,Long-Distance Traveler,0
10.42.0.151-10.42.0.1-32898-53-17,BMW i3,100,Station_177,San Francisco,10-01-24 21:00,10-01-24 22:23,37.92811166,1.713241512,,36.2054509,2,Level 2,Long-Distance Traveler,0
10.42.0.211-104.192.110.245-58774-80-6,Hyundai Kona,75,Station_184,Chicago,10-01-24 22:00,10-01-24 23:08,,0.688517401,30.00441036,23.49022368,6,Level 1,Casual Driver,0
184.169.173.173-10.42.0.211-443-51896-6,Hyundai Kona,50,Station_319,Chicago,10-01-24 23:00,11-01-24 0:11,31.87719017,1.383940916,23.46635584,38.28944613,6,DC Fast Charger,Casual Driver,0
172.217.9.227-10.42.0.211-443-34541-6,Chevy Bolt,50,Station_131,San Francisco,11-01-24 0:00,11-01-24 3:05,29.58284044,3.203871786,37.1837654,16.67307135,5,Level 2,Commuter,0
10.42.0.211-64.71.142.110-51366-443-6,Tesla Model 3,100,Station_363,New York,11-01-24 1:00,11-01-24 1:58,37.50977748,3.518061326,6.34178129,23.23026883,1,DC Fast Charger,Casual Driver,0
10.42.0.211-10.42.0.1-59381-53-17,Tesla Model 3,62,Station_49,San Francisco,11-01-24 2:00,11-01-24 5:20,7.849721867,2.556263537,,25.95044908,3,DC Fast Charger,Commuter,0
10.42.0.1-10.42.0.42-53-15047-17,Chevy Bolt,100,Station_55,New York,11-01-24 3:00,11-01-24 5:40,66.52076448,0.206630883,15.09948391,34.74007813,3.969244032,Level 1,Long-Distance Traveler,1
172.217.6.202-10.42.0.151-443-37914-6,Chevy Bolt,100,Station_154,Los Angeles,11-01-24 4:00,11-01-24 6:47,,2.009360269,74.61279366,7.892927163,2,Level 1,Commuter,0
10.42.0.211-10.42.0.1-5881-53-17,Chevy Bolt,62,Station_355,San Francisco,11-01-24 5:00,11-01-24 8:36,29.84062267,3.473863576,14.0390994,9.062227773,7,Level 2,Commuter,0
182.22.67.105-10.42.0.151-443-34597-6,BMW i3,100,Station_200,New York,11-01-24 6:00,11-01-24 8:51,59.78121988,3.839544843,28.46175259,13.52412911,6,Level 2,Casual Driver,1
172.217.10.40-10.42.0.42-443-54652-6,Tesla Model 3,94.82402915,Station_308,Los Angeles,11-01-24 7:00,11-01-24 10:53,76.35819792,2.974836267,10.89466858,68.93168829,5,Level 2,Commuter,0
10.42.0.211-95.213.11.181-55235-80-6,BMW i3,100,Station_356,San Francisco,11-01-24 8:00,11-01-24 11:24,60.41010375,1.708970701,48.78868466,17.89853157,2,DC Fast Charger,Casual Driver,0
10.42.0.151-104.244.43.227-49843-443-6,Chevy Bolt,85,Station_373,Chicago,11-01-24 9:00,11-01-24 10:11,44.78548904,3.430646018,35.39040523,36.90895525,6,DC Fast Charger,Commuter,0
203.205.158.60-10.42.0.211-80-51981-6,Tesla Model 3,75,Station_118,San Francisco,11-01-24 10:00,11-01-24 12:03,22.22767365,3.382077829,,27.52374174,1,DC Fast Charger,Casual Driver,0
10.42.0.151-103.7.30.118-55612-80-6,BMW i3,100,Station_263,Houston,11-01-24 11:00,11-01-24 14:09,22.27571241,2.312877329,18.2090343,24.41374839,3,DC Fast Charger,Long-Distance Traveler,0
172.217.12.131-10.42.0.211-443-48920-6,BMW i3,85,Station_46,San Francisco,11-01-24 12:00,11-01-24 13:01,29.01396646,2.525432776,43.00986974,12.29197938,3,Level 1,Casual Driver,1
172.217.10.66-10.42.0.151-443-50532-6,Chevy Bolt,75,Station_302,Houston,11-01-24 13:00,11-01-24 16:19,61.11752874,2.710755713,28.40157855,20.04094214,1,Level 2,Long-Distance Traveler,0
209.10.120.26-10.42.0.211-80-60473-6,Tesla Model 3,62,Station_356,Los Angeles,11-01-24 14:00,11-01-24 17:09,65.55092159,3.575625486,12.16339721,24.20928706,3,Level 1,Casual Driver,0
202.77.129.150-10.42.0.211-80-56641-6,Chevy Bolt,50,Station_400,San Francisco,11-01-24 15:00,11-01-24 15:55,76.57976765,0.624618293,10.56645094,36.69399043,0,Level 1,Long-Distance Traveler,0
10.42.0.211-106.39.169.66-52048-80-6,Tesla Model 3,50,Station_408,Los Angeles,11-01-24 16:00,11-01-24 18:24,37.09360176,0.853087098,23.61922633,19.54237559,7,DC Fast Charger,Long-Distance Traveler,0
203.130.53.126-10.42.0.211-80-38981-6,Hyundai Kona,100,Station_189,Los Angeles,11-01-24 17:00,11-01-24 19:38,56.35798687,3.210926146,,35.07084018,0,Level 2,Casual Driver,0
10.42.0.211-10.42.0.1-14577-53-17,Nissan Leaf,85,Station_310,New York,11-01-24 18:00,11-01-24 19:25,6.354516482,1.0468544,4.109925423,10.03369193,5,DC Fast Charger,Long-Distance Traveler,0
10.42.0.151-40.78.71.48-55795-443-6,Nissan Leaf,62,Station_318,Los Angeles,11-01-24 19:00,11-01-24 21:31,60.52272949,3.078528493,14.16343772,22.67035545,4,DC Fast Charger,Commuter,0
183.79.250.123-10.42.0.42-443-59115-6,Nissan Leaf,50,Station_129,Los Angeles,11-01-24 20:00,11-01-24 22:15,49.62151166,3.731488455,28.54955865,12.88187849,6,Level 2,Commuter,0
172.217.3.110-10.42.0.151-80-53268-6,Chevy Bolt,100,Station_49,San Francisco,11-01-24 21:00,11-01-24 23:39,54.12608725,1.253314562,13.61905214,31.93611569,7,Level 2,Long-Distance Traveler,1
140.205.34.4-10.42.0.151-443-57745-6,Hyundai Kona,45.38021848,Station_25,San Francisco,11-01-24 22:00,11-01-24 23:50,13.08899484,3.239292539,36.47580821,36.61236772,3,Level 1,Long-Distance Traveler,0
10.42.0.151-103.235.46.211-40366-443-6,Tesla Model 3,75,Station_266,Chicago,11-01-24 23:00,12-01-24 2:07,7.424244899,1.910624211,15.10098677,36.54430878,5,DC Fast Charger,Long-Distance Traveler,0
222.73.28.96-10.42.0.42-80-43362-6,BMW i3,143.4752097,Station_118,New York,12-01-24 0:00,12-01-24 2:29,47.086336,3.310831016,5.130814496,31.22019833,7,DC Fast Charger,Casual Driver,0
10.42.0.211-58.63.236.212-46650-443-6,Tesla Model 3,100,Station_464,Los Angeles,12-01-24 1:00,12-01-24 4:48,,0.504787945,,23.59953341,6,DC Fast Charger,Commuter,0
10.42.0.1-10.42.0.42-53-25676-17,BMW i3,85,Station_144,New York,12-01-24 2:00,12-01-24 3:21,56.82135247,0.865213147,21.26970474,15.83281356,2,Level 2,Long-Distance Traveler,0
172.217.6.226-10.42.0.151-443-39886-6,Tesla Model 3,75,Station_442,Houston,12-01-24 3:00,12-01-24 5:00,36.5318794,2.651650861,5.092837674,32.23995282,7,DC Fast Charger,Long-Distance Traveler,1
10.42.0.1-10.42.0.42-53-58320-17,Hyundai Kona,100,Station_200,Los Angeles,12-01-24 4:00,12-01-24 6:46,58.15106289,1.9862539,34.96509714,25.3916038,7,DC Fast Charger,Casual Driver,0
172.217.9.234-10.42.0.151-443-43799-6,BMW i3,10.18928677,Station_157,New York,12-01-24 5:00,12-01-24 5:51,63.59427153,3.333555448,28.59630646,5.086397605,4,DC Fast Charger,Commuter,0
172.217.8.3-10.42.0.211-443-58679-6,Chevy Bolt,85,Station_487,Chicago,12-01-24 6:00,12-01-24 7:03,55.41504977,2.314931146,30.64392048,36.42534262,5,DC Fast Charger,Long-Distance Traveler,0
172.217.6.202-10.42.0.211-443-52977-6,Tesla Model 3,50,Station_348,Chicago,12-01-24 7:00,12-01-24 9:19,12.9198797,3.380834531,9.137049424,11.49651417,4,Level 1,Commuter,0
10.42.0.211-66.198.24.240-56227-443-6,Tesla Model 3,75,Station_134,Los Angeles,12-01-24 8:00,12-01-24 9:18,70.24471718,3.372738572,31.88182227,18.52782019,4,Level 2,Casual Driver,0
10.42.0.211-54.192.37.135-55664-443-6,BMW i3,50,Station_400,Houston,12-01-24 9:00,12-01-24 11:38,47.90409794,1.161237734,22.06190557,35.04175348,5,Level 1,Commuter,0
172.217.12.129-10.42.0.211-443-43156-6,Chevy Bolt,62,Station_148,Chicago,12-01-24 10:00,12-01-24 11:42,59.14827213,3.878900409,14.88015319,32.07478813,3,Level 2,Long-Distance Traveler,0
10.42.0.42-64.71.142.95-48427-443-6,Chevy Bolt,75,Station_336,Chicago,12-01-24 11:00,12-01-24 12:53,6.462698571,3.465256587,5.335241683,37.45912865,4,DC Fast Charger,Long-Distance Traveler,0
10.42.0.151-36.51.254.232-56820-443-6,Hyundai Kona,100,Station_71,Houston,12-01-24 12:00,12-01-24 13:22,79.00225971,3.893154871,26.97742286,11.28750438,3,Level 2,Commuter,0
180.149.153.234-10.42.0.211-80-39403-6,Chevy Bolt,78.38373536,Station_233,New York,12-01-24 13:00,12-01-24 15:09,19.91687772,2.805178781,32.21173099,10.47101094,7,Level 1,Casual Driver,1
10.42.0.211-10.42.0.1-38476-53-17,Chevy Bolt,62,Station_334,Chicago,12-01-24 14:00,12-01-24 16:33,73.22951285,3.516353117,23.61812385,16.97108591,5,DC Fast Charger,Casual Driver,0
198.11.132.53-10.42.0.151-80-47165-6,Chevy Bolt,75,Station_299,San Francisco,12-01-24 15:00,12-01-24 18:17,15.0589717,3.216985824,14.76789076,15.67014168,1,Level 1,Casual Driver,0
